uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA720846;Lachaud;Bastien;LFI-NFP;1883;1858;25;98.67;True
PA842155;Diouara;Aly;LFI-NFP;1261;1244;17;98.65;True
PA841515;Le Coq;Aurélien;LFI-NFP;1989;1962;27;98.64;True
PA878242;Valentin;Antoine;UDR;73;72;1;98.63;True
PA796090;Caron;Aymeric;LFI-NFP;1434;1414;20;98.61;True
PA841657;Belouassa-Cherifi;Anaïs;LFI-NFP;1488;1467;21;98.59;True
PA795482;Meunier;Manon;LFI-NFP;2126;2095;31;98.54;True
PA795466;Soudais;Ersilia;LFI-NFP;1924;1896;28;98.54;True
PA793262;Alexandre;Laurent;LFI-NFP;2798;2757;41;98.53;True
PA794478;Guiraud;David;LFI-NFP;1017;1002;15;98.53;True
PA793532;Lepvraud;Murielle;LFI-NFP;3183;3136;47;98.52;True
PA795084;Arenas;Rodrigo;LFI-NFP;863;850;13;98.49;True
PA795516;Laisney;Maxime;LFI-NFP;3372;3321;51;98.49;True
PA796062;Portes;Thomas;LFI-NFP;2228;2194;34;98.47;True
PA842037;Cernon;Bérenger;LFI-NFP;2727;2685;42;98.46;True
PA267306;Chassaigne;André;GDR;130;128;2;98.46;False
PA841191;Nosbé;Sandrine;LFI-NFP;2730;2688;42;98.46;True
PA719578;Prud'homme;Loïc;LFI-NFP;1107;1090;17;98.46;True
PA794082;Hignet;Mathilde;LFI-NFP;3233;3183;50;98.45;True
PA842029;Lejeune;Claire;LFI-NFP;3057;3009;48;98.43;True
PA794130;Kerbrat;Andy;LFI-NFP;1839;1810;29;98.42;True
PA841845;Saint-Martin;Arnaud;LFI-NFP;2456;2417;39;98.41;True
PA795310;Guetté;Clémence;LFI-NFP;2149;2114;35;98.37;True
PA722046;Bergé;Aurore;EPR;61;60;1;98.36;False
PA841947;Hamdane;Zahia;LFI-NFP;2318;2280;38;98.36;True
PA795228;Abomangoli;Nadège;LFI-NFP;2413;2373;40;98.34;True
PA721062;Ratenon;Jean-Hugues;LFI-NFP;1327;1305;22;98.34;True
PA794106;Taurinya;Andrée;LFI-NFP;2704;2659;45;98.34;True
PA840801;Fouquart;Emmanuel;RN;2218;2181;37;98.33;True
PA793872;Oziol;Nathalie;LFI-NFP;1017;1000;17;98.33;True
PA795588;Amrani;Farida;LFI-NFP;1724;1695;29;98.32;True
PA793912;Carrière;Sylvain;LFI-NFP;2982;2932;50;98.32;True
PA794570;Sabatou;Alexandre;RN;1784;1754;30;98.32;True
PA840773;Fayssat;Olivier;UDR;3692;3629;63;98.29;True
PA791824;Legrain;Sarah;LFI-NFP;3100;3047;53;98.29;True
PA841777;Sanvert;Arnaud;RN;817;803;14;98.29;False
PA795844;Erodi;Karen;LFI-NFP;2670;2624;46;98.28;True
PA794786;Fernandes;Emmanuel;LFI-NFP;3592;3530;62;98.27;True
PA794906;Amard;Gabriel;LFI-NFP;1899;1866;33;98.26;True
PA719436;Meizonnet;Nicolas;RN;1950;1916;34;98.26;True
PA794166;Tavel;Matthias;LFI-NFP;1991;1956;35;98.24;True
PA841023;Cadalen;Pierre-Yves;LFI-NFP;1863;1830;33;98.23;True
PA795108;Leboucher;Élise;LFI-NFP;2878;2827;51;98.23;True
PA841395;Michelet;Maxime;UDR;2134;2096;38;98.22;True
PA795616;Bilongo;Carlos Martens;LFI-NFP;1173;1152;21;98.21;True
PA841251;Feld;Mathilde;LFI-NFP;2731;2682;49;98.21;True
PA791812;Chikirou;Sophia;LFI-NFP;1217;1195;22;98.19;True
PA840143;Florquin;Guillaume;RN;2271;2230;41;98.19;True
PA794138;Amiot;Ségolène;LFI-NFP;3346;3285;61;98.18;True
PA841451;Guibert;Julien;RN;2849;2797;52;98.17;True
PA817211;Pilato;René;LFI-NFP;2571;2524;47;98.17;True
PA795672;Le Gall;Arnaud;LFI-NFP;2138;2098;40;98.13;True
PA335612;Lecoq;Jean-Paul;GDR;1283;1259;24;98.13;True
PA841215;Mesmeur;Marie;LFI-NFP;2309;2265;44;98.09;True
PA840685;Trébuchet;Vincent;UDR;1417;1390;27;98.09;True
PA720952;Taché;Aurélien;LFI-NFP;672;659;13;98.07;True
PA795136;Coulomme;Jean-François;LFI-NFP;3144;3082;62;98.03;True
PA795200;Dufour;Alma;LFI-NFP;1309;1283;26;98.01;True
PA796070;Gaillard;Perceval;LFI-NFP;2323;2276;47;97.98;True
PA841075;Josserand;Sylvie;RN;2378;2330;48;97.98;True
PA795164;Trouvé;Aurélie;LFI-NFP;1423;1394;29;97.96;True
PA794590;Loubet;Alexandre;RN;1743;1707;36;97.93;True
PA721960;Obono;Danièle;LFI-NFP;1458;1427;31;97.87;True
PA793298;Tivoli;Lionel;RN;2153;2107;46;97.86;True
PA841199;Perez;Thierry;RN;2085;2039;46;97.79;True
PA841495;Amblard;Maxime;RN;2330;2278;52;97.77;True
PA841761;Dutremble;Aurélien;RN;1762;1722;40;97.73;True
PA841575;Vos;Frédéric-Pierre;RN;1186;1159;27;97.72;True
PA840159;Clavet;Bruno;RN;1224;1196;28;97.71;True
PA793756;Piquemal;François;LFI-NFP;864;844;20;97.69;True
PA794710;Brugerolles;Julien;GDR;603;589;14;97.68;True
PA793322;D'Intorni;Christelle;UDR;773;755;18;97.67;True
PA794030;Jolly;Alexis;RN;1839;1796;43;97.66;True
PA794670;Parmentier;Caroline;RN;1711;1671;40;97.66;True
PA840781;Tonussi;Romain;RN;2097;2048;49;97.66;True
PA721896;Faucillon;Elsa;GDR;1001;977;24;97.6;True
PA795778;Tanguy;Jean-Philippe;RN;2616;2553;63;97.59;True
PA793246;Falcon;Frédéric;RN;1799;1755;44;97.55;True
PA793382;Taché;Emmanuel;RN;896;874;22;97.54;True
PA793772;Bex;Christophe;LFI-NFP;3122;3045;77;97.53;True
PA841973;Carbonnel;Pierre-Henri;UDR;1297;1265;32;97.53;True
PA796026;Lechanteux;Julie;RN;1418;1382;36;97.46;True
PA840075;Casterman;Eddy;RN;1886;1838;48;97.45;True
PA840757;Griseti;Monique;RN;2531;2466;65;97.43;True
PA841621;Evrard;Auguste;RN;1434;1397;37;97.42;True
PA795966;Rambaud;Stéphane;RN;2074;2019;55;97.35;True
PA793314;Masson;Alexandra;RN;636;619;17;97.33;True
PA794938;Boumertit;Idir;LFI-NFP;1845;1795;50;97.29;True
PA793696;Muller;Serge;RN;2729;2655;74;97.29;True
PA720822;Bilde;Bruno;RN;1323;1287;36;97.28;True
PA841183;Mansouri;Hanane;UDR;1137;1106;31;97.27;True
PA793134;Buisson;Jérôme;RN;1823;1772;51;97.2;True
PA840721;Chavent;Marc;UDR;1501;1459;42;97.2;True
PA795912;Lavalette;Laure;RN;704;684;20;97.16;True
PA793928;Diaz;Edwige;RN;3866;3756;110;97.15;True
PA793592;Grangier;Géraldine;RN;2180;2117;63;97.11;True
PA841487;Boulogne;Anthony;RN;2558;2483;75;97.07;True
PA794530;Marchio;Matthieu;RN;2038;1978;60;97.06;True
PA795820;Nadeau;Marcellin;GDR;440;427;13;97.05;True
PA794886;Blanc;Sophie;RN;1586;1539;47;97.04;True
PA774962;Lebon;Karine;GDR;1079;1047;32;97.03;True
PA841207;Alloncle;Charles;UDR;933;905;28;97.0;True
PA794954;Salmon;Emeric;RN;4669;4529;140;97.0;True
PA795974;Lottiaux;Philippe;RN;2906;2818;88;96.97;True
PA842097;Roy;Sophie-Laurence;RN;1978;1918;60;96.97;True
PA842001;Bigot;Guillaume;RN;1120;1086;34;96.96;True
PA794894;Sabatini;Anaïs;RN;3587;3478;109;96.96;True
PA841737;Gery;Jonathan;RN;2593;2513;80;96.91;True
PA796042;Boccaletti;Frédéric;RN;2777;2691;86;96.9;True
PA793852;Meurin;Pierre;RN;2482;2405;77;96.9;True
PA840135;Dufosset;Alexandre;RN;1957;1896;61;96.88;True
PA842085;Humbert;Sébastien;RN;3870;3749;121;96.87;True
PA794946;Villedieu;Antoine;RN;3057;2961;96;96.86;True
PA794418;Goulet;Florence;RN;2882;2791;91;96.84;True
PA840857;Lechon;Nadine;RN;2498;2418;80;96.8;True
PA841801;Carteron;Danièle;EPR;187;181;6;96.79;False
PA841479;Weber;Frédéric;RN;2664;2578;86;96.77;True
PA793616;Mauvieux;Kévin;RN;2822;2730;92;96.74;True
PA720838;Bourouaha;Soumya;GDR;915;885;30;96.72;True
PA841553;Tesson;Thierry;RN;2241;2167;74;96.7;True
PA793238;Barthès;Christophe;RN;2266;2191;75;96.69;True
PA840869;Joubert;Florence;RN;2631;2544;87;96.69;True
PA793362;Gonzalez;José;RN;2310;2233;77;96.67;True
PA720668;Blairy;Emmanuel;RN;1243;1201;42;96.62;True
PA793290;Lelouis;Gisèle;RN;2171;2097;74;96.59;True
PA794502;Taverne;Michaël;RN;1989;1921;68;96.58;True
PA793432;Allisio;Franck;RN;553;534;19;96.56;True
PA793548;Colombier;Caroline;RN;2761;2666;95;96.56;True
PA841605;Golliot;Antoine;RN;2183;2108;75;96.56;True
PA841729;Lahmar;Abdelkader;LFI-NFP;1357;1310;47;96.54;True
PA841981;Rimbert;Catherine;RN;2891;2791;100;96.54;True
PA795410;Roullaud;Béatrice;RN;3036;2930;106;96.51;True
PA588884;Autain;Clémentine;EcoS;742;716;26;96.5;True
PA794598;Jacobelli;Laurent;RN;1816;1752;64;96.48;True
PA840837;Markowsky;Pascal;RN;3094;2985;109;96.48;True
PA605745;Sansu;Nicolas;GDR;1737;1675;62;96.43;True
PA840983;Lenoir;Bartolomé;UDR;1531;1476;55;96.41;True
PA841587;Magnier;David;RN;3782;3646;136;96.4;True
PA795876;Rimane;Davy;GDR;222;214;8;96.4;True
PA842227;Rivière;Joseph;RN;1547;1491;56;96.38;True
PA794734;Guiniot;Michel;RN;1648;1588;60;96.36;True
PA793166;Dessigny;Jocelyn;RN;2893;2787;106;96.34;True
PA794582;Pfeffer;Kévin;RN;2457;2367;90;96.34;True
PA841613;de Fleurian;Marc;RN;3740;3602;138;96.31;True
PA793158;Beaurain;José;RN;1616;1556;60;96.29;True
PA795868;Castor;Jean-Victor;GDR;593;571;22;96.29;True
PA794146;Laernoes;Julie;EcoS;1832;1764;68;96.29;True
PA793182;Bovet;Jorys;RN;2538;2443;95;96.26;True
PA795900;Hamelet;Marine;RN;4804;4624;180;96.25;True
PA330240;Ciotti;Éric;UDR;370;356;14;96.22;True
PA794442;Robert-Dehault;Laurence;RN;1903;1831;72;96.22;True
PA794198;Chudeau;Roger;RN;1716;1651;65;96.21;True
PA841769;Michoux;Éric;UDR;2342;2253;89;96.2;True
PA793330;Masson;Bryan;RN;757;728;29;96.17;False
PA610654;Nilor;Jean-Philippe;LFI-NFP;672;646;26;96.13;True
PA794562;Ballard;Philippe;RN;1537;1477;60;96.1;True
PA841837;Le Bourgeois;Robert;RN;2684;2579;105;96.09;True
PA841749;Joncour;Tiffany;RN;3127;3004;123;96.07;True
PA796018;Simonnet;Danielle;EcoS;1796;1725;71;96.05;True
PA841873;Limongi;Julien;RN;3004;2885;119;96.04;True
PA841955;Renault;Matthias;RN;3300;3168;132;96.0;True
PA795076;Rousseau;Sandrine;EcoS;2227;2138;89;96.0;True
PA793452;Davi;Hendrik;EcoS;1797;1724;73;95.94;True
PA841745;Bay;Pascale;DR;73;70;3;95.89;False
PA793102;Girard;Christian;RN;3274;3139;135;95.88;True
PA793218;Guitton;Jordan;RN;2696;2581;115;95.73;True
PA841563;Marais-Beuil;Claire;RN;4799;4594;205;95.73;True
PA795644;Da Conceicao Carvalho;Nathalie;RN;2878;2754;124;95.69;True
PA793146;Dragon;Nicolas;RN;3402;3255;147;95.68;True
PA793656;Pollet;Lisette;RN;3935;3765;170;95.68;True
PA842299;Tjibaou;Emmanuel;GDR;370;354;16;95.68;True
PA841439;Jenft;Pascal;RN;2829;2706;123;95.65;True
PA795786;Ménaché;Yaël;RN;1494;1429;65;95.65;True
PA842279;Bamana;Anchya;RN;1422;1360;62;95.64;True
PA793832;Gillet;Yoann;RN;2998;2867;131;95.63;True
PA720468;Chenu;Sébastien;RN;891;852;39;95.62;True
PA793254;Rancoule;Julien;RN;2886;2759;127;95.6;True
PA793844;Bordes;Pascale;RN;1982;1894;88;95.56;True
PA793980;Fournier;Charles;EcoS;1233;1178;55;95.54;True
PA841067;Allegret-Pilot;Alexandre;UDR;2730;2608;122;95.53;True
PA841131;Bouquin;Manon;RN;3007;2872;135;95.51;True
PA840657;Ricourt Vaginay;Sophie;UDR;1693;1617;76;95.51;True
PA610968;Amirshahi;Pouria;EcoS;2811;2684;127;95.48;True
PA793354;Mélin;Joëlle;RN;1594;1522;72;95.48;True
PA841885;Bonnet;Arnaud;EcoS;2099;2004;95;95.47;True
PA793780;Arrighi;Christine;EcoS;1631;1557;74;95.46;True
PA610002;Sas;Eva;EcoS;2158;2060;98;95.46;True
PA794434;Bentz;Christophe;RN;4006;3822;184;95.41;True
PA721932;Lorho;Marie-France;RN;2782;2654;128;95.4;True
PA840809;Verny;Gérault;UDR;1000;954;46;95.4;True
PA841645;Bernhardt;Théo;RN;2951;2815;136;95.39;True
PA795998;K/Bidi;Émeline;GDR;781;745;36;95.39;True
PA796118;Auzanot;Bénédicte;RN;1395;1330;65;95.34;True
PA795808;Sebaihi;Sabrina;EcoS;1759;1677;82;95.34;True
PA794008;Chatelain;Cyrielle;EcoS;2244;2139;105;95.32;True
PA795454;Ben Cheikh;Karim;EcoS;2347;2237;110;95.31;True
PA793632;Houssin;Timothée;RN;2668;2543;125;95.31;True
PA794154;Raux;Jean-Claude;EcoS;2111;2012;99;95.31;True
PA795010;Garin;Marie-Charlotte;EcoS;1776;1692;84;95.27;True
PA793230;Ranc;Angélique;RN;1882;1793;89;95.27;True
PA721270;Peu;Stéphane;GDR;1202;1145;57;95.26;True
PA795240;Reid Arbelot;Mereana;GDR;228;217;11;95.18;True
PA796106;Bénard;Édouard;GDR;1052;1001;51;95.15;True
PA795636;Lucas-Lundy;Benjamin;EcoS;1546;1471;75;95.15;True
PA722142;Ruffin;François;EcoS;515;490;25;95.15;True
PA794678;Frappé;Thierry;RN;2894;2752;142;95.09;True
PA642988;de Lépinau;Hervé;RN;1935;1840;95;95.09;True
PA841139;Gabarron;Julien;RN;1481;1408;73;95.07;True
PA841701;Balage El Mariky;Léa;EcoS;1914;1819;95;95.04;True
PA721202;Coquerel;Éric;LFI-NFP;1429;1358;71;95.03;True
PA841825;Martin;Patrice;RN;3273;3110;163;95.02;True
PA796034;Giletti;Frank;RN;1601;1521;80;95.0;True
PA840967;Lioret;René;RN;1611;1530;81;94.97;True
PA842045;Ozenne;Julie;EcoS;2766;2627;139;94.97;True
PA795552;Odoul;Julien;RN;496;471;25;94.96;True
PA842271;Maurel;Emmanuel;GDR;1279;1214;65;94.92;True
