uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA840171;Grégoire;Emmanuel;SOC;1910;1759;151;92.09;True
PA796078;Youssouffa;Estelle;LIOT;543;500;43;92.08;True
PA719282;Lacombe;Xavier;HOR;391;360;31;92.07;False
PA720038;Josso;Sandrine;Dem;1595;1468;127;92.04;True
PA794270;Pic;Anna;SOC;1280;1178;102;92.03;True
PA719914;Darrieussecq;Geneviève;Dem;1467;1350;117;92.02;True
PA841091;Simion;Arnaud;SOC;1968;1811;157;92.02;True
PA606507;Boudié;Florent;EPR;774;712;62;91.99;True
PA341981;Récalde;Marie;SOC;871;801;70;91.96;True
PA608264;Capdevielle;Colette;SOC;2407;2213;194;91.94;True
PA841107;Oberti;Jacques;SOC;4590;4220;370;91.94;True
PA1567;Guedj;Jérôme;SOC;1545;1420;125;91.91;True
PA721984;Latombe;Philippe;Dem;470;432;38;91.91;True
PA842195;Eskenazi;Romain;SOC;1794;1648;146;91.86;True
PA841717;Runel;Sandrine;SOC;2260;2076;184;91.86;True
PA793394;Delaporte;Arthur;SOC;2952;2711;241;91.84;True
PA794094;Bouloux;Mickaël;SOC;2928;2686;242;91.73;True
PA719080;Marsaud;Sandra;EPR;1445;1325;120;91.7;True
PA1008;David;Alain;SOC;433;397;36;91.69;True
PA721024;Genetet;Anne;EPR;1275;1169;106;91.69;True
PA719372;Kasbarian;Guillaume;EPR;1203;1103;100;91.69;True
PA721474;Viry;Stéphane;LIOT;385;353;32;91.69;True
PA842263;Hadizadeh;Ayda;SOC;1945;1781;164;91.57;True
PA841927;Ronceret;Anne-Sophie;EPR;1673;1532;141;91.57;True
PA793992;Alfandari;Henri;HOR;352;322;30;91.48;True
PA340343;Saulignac;Hervé;SOC;986;902;84;91.48;True
PA795100;Martineau;Éric;Dem;2882;2636;246;91.46;True
PA794466;Moulliere;Jean;HOR;2526;2310;216;91.45;False
PA719550;Tanguy;Liliana;EPR;2660;2432;228;91.43;True
PA842211;Bellay;Béatrice;SOC;859;785;74;91.39;True
PA719798;Labaronne;Daniel;EPR;1842;1683;159;91.37;True
PA722382;Dirx;Benjamin;EPR;900;822;78;91.33;True
PA841463;Mercier;Estelle;SOC;2406;2197;209;91.31;True
PA794430;Criaud;Michel;HOR;758;692;66;91.29;True
PA774958;Leseul;Gérard;SOC;2929;2674;255;91.29;True
PA719822;Thillaye;Sabine;Dem;1584;1446;138;91.29;True
PA793816;Thomin;Mélanie;SOC;1321;1206;115;91.29;True
PA719938;Fesneau;Marc;Dem;1319;1204;115;91.28;True
PA721004;Lakrafi;Amélia;EPR;756;690;66;91.27;True
PA794854;Echaniz;Inaki;SOC;2483;2266;217;91.26;True
PA719412;Le Feur;Sandrine;EPR;1575;1437;138;91.24;True
PA794994;Portier;Alexandre;DR;753;687;66;91.24;True
PA795762;Califer;Elie;SOC;1676;1529;147;91.23;True
PA607846;Darmanin;Gérald;EPR;34;31;3;91.18;False
PA795664;Midy;Paul;EPR;1710;1559;151;91.17;True
