uid;nom;prenom;groupe_sigle;specialite_principale;top_5_themes;nb_themes_votes
PA793796;Taupiac;David;LIOT;Logement & Urbanisme;Economie & Finance(436) | Securite sociale & Protection(85) | Sante(48) | Logement & Urbanisme(46) | Agriculture(28);15
PA794106;Taurinya;Andrée;LFI-NFP;Numerique & Technologies;Economie & Finance(1307) | Sante(351) | Securite sociale & Protection(266) | Outre-mer(161) | Institutions(160);16
PA794166;Tavel;Matthias;LFI-NFP;Ecologie & Environnement;Economie & Finance(1076) | Securite sociale & Protection(278) | Sante(276) | Ecologie & Environnement(225) | Institutions(101);15
PA794502;Taverne;Michaël;RN;Immigration;Economie & Finance(1087) | Securite sociale & Protection(257) | Sante(207) | Securite & Justice(195) | Ecologie & Environnement(108);15
PA841713;Tavernier;Boris;EcoS;Immigration;Economie & Finance(903) | Securite sociale & Protection(269) | Sante(192) | Institutions(146) | Outre-mer(103);16
PA721584;Terlier;Jean;EPR;Agriculture;Economie & Finance(710) | Securite sociale & Protection(276) | Outre-mer(72) | Ecologie & Environnement(71) | Sante(69);14
PA840737;Termet;Flavien;RN;;;0
PA841553;Tesson;Thierry;RN;Economie & Finance;Economie & Finance(1587) | Securite sociale & Protection(294) | Sante(184) | Outre-mer(100) | Ecologie & Environnement(98);15
PA795920;Thevenot;Prisca;EPR;Numerique & Technologies;Economie & Finance(1323) | Securite sociale & Protection(391) | Sante(267) | Outre-mer(152) | Securite & Justice(149);16
PA793948;Thierry;Nicolas;EcoS;Social & Travail;Economie & Finance(763) | Sante(171) | Securite sociale & Protection(134) | Institutions(110) | Social & Travail(54);16
PA719822;Thillaye;Sabine;Dem;Social & Travail;Economie & Finance(886) | Securite sociale & Protection(235) | Sante(150) | Outre-mer(89) | Institutions(85);16
PA841893;Thiébault-Martinez;Céline;SOC;Transport;Economie & Finance(1177) | Securite sociale & Protection(244) | Sante(226) | Securite & Justice(109) | Institutions(72);15
PA722336;Thiébaut;Vincent;HOR;Securite sociale & Protection;Economie & Finance(356) | Securite sociale & Protection(233) | Sante(101) | Ecologie & Environnement(45) | Outre-mer(36);15
PA643089;Thiériot;Jean-Louis;DR;Logement & Urbanisme;Economie & Finance(162) | Outre-mer(40) | Securite & Justice(35) | Institutions(32) | Securite sociale & Protection(19);14
PA793816;Thomin;Mélanie;SOC;Social & Travail;Economie & Finance(909) | Securite sociale & Protection(366) | Outre-mer(98) | Social & Travail(62) | Institutions(46);15
PA793298;Tivoli;Lionel;RN;Ecologie & Environnement;Economie & Finance(1317) | Securite sociale & Protection(344) | Ecologie & Environnement(227) | Sante(145) | Outre-mer(94);15
PA842299;Tjibaou;Emmanuel;GDR;Outre-mer;Economie & Finance(246) | Outre-mer(53) | Sante(35) | Institutions(32) | Securite sociale & Protection(15);13
PA840781;Tonussi;Romain;RN;Defense;Economie & Finance(1273) | Securite sociale & Protection(218) | Outre-mer(164) | Institutions(121) | Sante(108);15
PA607395;Travert;Stéphane;EPR;Logement & Urbanisme;Economie & Finance(848) | Securite sociale & Protection(110) | Ecologie & Environnement(72) | Logement & Urbanisme(57) | Outre-mer(51);14
PA793334;Tribuiani;Cyril;RN;;;0
PA795164;Trouvé;Aurélie;LFI-NFP;Ecologie & Environnement;Economie & Finance(824) | Ecologie & Environnement(196) | Securite sociale & Protection(158) | Outre-mer(116) | Institutions(83);14
PA842121;Tryzna;Nicolas;DR;Defense;Economie & Finance(398) | Securite sociale & Protection(90) | Institutions(56) | Sante(53) | Defense(36);11
PA840685;Trébuchet;Vincent;UDR;Sante;Economie & Finance(894) | Securite sociale & Protection(316) | Sante(292) | Outre-mer(78) | Securite & Justice(28);15
PA722162;Turquois;Nicolas;Dem;Social & Travail;Economie & Finance(544) | Securite sociale & Protection(422) | Sante(324) | Social & Travail(95) | Institutions(73);15
PA878242;Valentin;Antoine;UDR;Ecologie & Environnement;Sante(30) | Ecologie & Environnement(19) | Economie & Finance(9) | Immigration(1) | Culture(1);6
PA719930;Vallaud;Boris;SOC;Securite & Justice;Economie & Finance(1315) | Securite sociale & Protection(394) | Ecologie & Environnement(134) | Securite & Justice(118) | Outre-mer(71);15
PA795350;Valletoux;Frédéric;HOR;Sante;Economie & Finance(812) | Sante(673) | Securite sociale & Protection(534) | Social & Travail(113) | Outre-mer(55);13
PA795596;Vannier;Paul;LFI-NFP;Defense;Economie & Finance(937) | Securite sociale & Protection(190) | Sante(90) | Outre-mer(65) | Securite & Justice(48);15
PA794118;Vermorel-Marques;Antoine;DR;Defense;Economie & Finance(382) | Institutions(54) | Securite sociale & Protection(50) | Outre-mer(43) | Education(36);15
PA840809;Verny;Gérault;UDR;Sante;Economie & Finance(577) | Sante(291) | Securite sociale & Protection(53) | Outre-mer(47) | Institutions(19);15
PA794494;Vicot;Roger;SOC;Securite & Justice;Economie & Finance(701) | Securite sociale & Protection(248) | Securite & Justice(95) | Sante(53) | Ecologie & Environnement(53);15
PA722102;Vidal;Annie;EPR;Sante;Economie & Finance(862) | Sante(602) | Securite sociale & Protection(496) | Social & Travail(57) | Education(55);15
PA607090;Vigier;Jean-Pierre;DR;Defense;Economie & Finance(645) | Securite sociale & Protection(187) | Ecologie & Environnement(79) | Sante(72) | Institutions(49);15
PA331582;Vigier;Philippe;Dem;Outre-mer;Economie & Finance(648) | Securite sociale & Protection(478) | Sante(424) | Outre-mer(228) | Ecologie & Environnement(67);13
PA719512;Vignon;Corinne;EPR;Numerique & Technologies;Economie & Finance(849) | Securite sociale & Protection(346) | Sante(265) | Ecologie & Environnement(84) | Outre-mer(64);15
PA794946;Villedieu;Antoine;RN;Defense;Economie & Finance(1749) | Securite sociale & Protection(459) | Sante(285) | Ecologie & Environnement(221) | Securite & Justice(143);15
PA795026;Violland;Anne-Cécile;HOR;Defense;Economie & Finance(755) | Securite sociale & Protection(174) | Sante(100) | Outre-mer(61) | Social & Travail(53);14
PA721474;Viry;Stéphane;LIOT;Social & Travail;Economie & Finance(123) | Social & Travail(82) | Securite sociale & Protection(82) | Sante(27) | Education(27);15
PA721170;Vojetta;Stéphane;EPR;Institutions;Institutions(85) | Economie & Finance(61) | Sante(59) | Outre-mer(33) | Securite & Justice(19);14
PA841575;Vos;Frédéric-Pierre;RN;Logement & Urbanisme;Economie & Finance(760) | Securite sociale & Protection(83) | Institutions(65) | Logement & Urbanisme(63) | Securite & Justice(48);16
PA2940;Voynet;Dominique;EcoS;Outre-mer;Economie & Finance(921) | Outre-mer(309) | Sante(243) | Ecologie & Environnement(185) | Securite sociale & Protection(164);15
PA793194;Vuibert;Lionel;NI;Transport;Economie & Finance(670) | Securite sociale & Protection(295) | Sante(198) | Outre-mer(100) | Education(38);15
PA2952;Warsmann;Jean-Luc;LIOT;Logement & Urbanisme;Economie & Finance(859) | Securite sociale & Protection(228) | Logement & Urbanisme(38) | Institutions(23) | Culture(14);14
PA267285;Wauquiez;Laurent;DR;Defense;Economie & Finance(411) | Securite sociale & Protection(106) | Defense(46) | Outre-mer(45) | Securite & Justice(25);14
PA841479;Weber;Frédéric;RN;Outre-mer;Economie & Finance(1638) | Securite sociale & Protection(305) | Sante(210) | Outre-mer(206) | Ecologie & Environnement(165);16
PA795326;Weissberg;Christopher;EPR;Education;Economie & Finance(140) | Education(35) | Securite sociale & Protection(30) | Sante(11) | Outre-mer(8);11
PA720992;William;Jiovanny;SOC;Securite & Justice;Economie & Finance(175) | Securite & Justice(70) | Securite sociale & Protection(69) | Logement & Urbanisme(22) | Education(15);15
PA2960;Woerth;Éric;EPR;Numerique & Technologies;Economie & Finance(1433) | Securite sociale & Protection(434) | Culture(152) | Ecologie & Environnement(88) | Outre-mer(58);16
PA795046;Yadan;Caroline;EPR;Education;Economie & Finance(596) | Securite & Justice(159) | Institutions(95) | Securite sociale & Protection(91) | Education(88);15
PA796078;Youssouffa;Estelle;LIOT;Outre-mer;Outre-mer(273) | Economie & Finance(218) | Securite sociale & Protection(35) | Institutions(16) | Logement & Urbanisme(10);13
PA942;de Courson;Charles;LIOT;Economie & Finance;Economie & Finance(1057) | Securite sociale & Protection(101) | Sante(59) | Institutions(42) | Outre-mer(29);13
PA841613;de Fleurian;Marc;RN;Transport;Economie & Finance(2018) | Securite sociale & Protection(511) | Sante(441) | Institutions(227) | Securite & Justice(223);16
PA642988;de Lépinau;Hervé;RN;Defense;Economie & Finance(1017) | Sante(337) | Securite sociale & Protection(259) | Outre-mer(148) | Institutions(70);15
PA842141;de Maistre;Élisabeth;DR;Education;Economie & Finance(742) | Sante(325) | Securite sociale & Protection(230) | Securite & Justice(109) | Education(78);16
PA841359;de Pélichy;Constance;LIOT;Immigration;Economie & Finance(636) | Sante(198) | Securite sociale & Protection(163) | Institutions(109) | Securite & Justice(98);15
