uid;nom;prenom;groupe_sigle;specialite_principale;top_5_themes;nb_themes_votes
PA793696;Muller;Serge;RN;Defense;Economie & Finance(1740) | Securite sociale & Protection(554) | Sante(201) | Outre-mer(152) | Ecologie & Environnement(118);16
PA793354;Mélin;Joëlle;RN;Securite sociale & Protection;Economie & Finance(1060) | Securite sociale & Protection(548) | Sante(208) | Outre-mer(72) | Institutions(59);15
PA795786;Ménaché;Yaël;RN;Logement & Urbanisme;Economie & Finance(988) | Securite sociale & Protection(248) | Sante(202) | Outre-mer(75) | Institutions(58);14
PA794322;Ménagé;Thomas;RN;Securite sociale & Protection;Economie & Finance(1182) | Securite sociale & Protection(440) | Sante(318) | Outre-mer(89) | Ecologie & Environnement(64);15
PA795820;Nadeau;Marcellin;GDR;Outre-mer;Economie & Finance(228) | Outre-mer(75) | Institutions(38) | Ecologie & Environnement(24) | Culture(22);15
PA721486;Naegelen;Christophe;LIOT;Transport;Economie & Finance(527) | Securite sociale & Protection(99) | Ecologie & Environnement(65) | Outre-mer(52) | Sante(47);15
PA643157;Naillet;Philippe;SOC;Outre-mer;Economie & Finance(855) | Securite sociale & Protection(273) | Outre-mer(212) | Sante(110) | Social & Travail(52);15
PA794038;Neuder;Yannick;DR;Defense;Economie & Finance(187) | Securite sociale & Protection(177) | Defense(46) | Sante(33) | Securite & Justice(15);9
PA610654;Nilor;Jean-Philippe;LFI-NFP;Outre-mer;Economie & Finance(381) | Outre-mer(104) | Securite sociale & Protection(92) | Sante(42) | Social & Travail(24);15
PA841191;Nosbé;Sandrine;LFI-NFP;Logement & Urbanisme;Economie & Finance(1377) | Outre-mer(321) | Securite sociale & Protection(264) | Sante(247) | Ecologie & Environnement(142);16
PA720644;Nury;Jérôme;DR;Ecologie & Environnement;Economie & Finance(143) | Ecologie & Environnement(138) | Outre-mer(57) | Institutions(52) | Securite sociale & Protection(49);15
PA841107;Oberti;Jacques;SOC;Culture;Economie & Finance(2478) | Sante(624) | Securite sociale & Protection(562) | Ecologie & Environnement(215) | Institutions(192);16
PA721960;Obono;Danièle;LFI-NFP;Culture;Economie & Finance(866) | Securite sociale & Protection(239) | Outre-mer(122) | Sante(122) | Institutions(93);14
PA795552;Odoul;Julien;RN;Education;Economie & Finance(184) | Sante(109) | Ecologie & Environnement(63) | Securite sociale & Protection(47) | Education(34);14
PA795722;Olive;Karl;EPR;Education;Economie & Finance(208) | Securite sociale & Protection(52) | Securite & Justice(43) | Outre-mer(40) | Institutions(34);16
PA794830;Ott;Hubert;Dem;Culture;Economie & Finance(681) | Securite sociale & Protection(279) | Culture(124) | Sante(105) | Outre-mer(86);15
PA842045;Ozenne;Julie;EcoS;Logement & Urbanisme;Economie & Finance(1561) | Securite sociale & Protection(228) | Ecologie & Environnement(192) | Culture(160) | Outre-mer(156);15
PA793872;Oziol;Nathalie;LFI-NFP;Institutions;Economie & Finance(534) | Securite sociale & Protection(135) | Sante(126) | Institutions(102) | Outre-mer(69);13
PA795124;Padey;Didier;Dem;Culture;Economie & Finance(128) | Culture(54) | Securite sociale & Protection(54) | Social & Travail(27) | Securite & Justice(16);12
PA720334;Pahun;Jimmy;Dem;Social & Travail;Economie & Finance(1020) | Securite sociale & Protection(179) | Institutions(70) | Social & Travail(61) | Securite & Justice(55);15
PA793210;Panifous;Laurent;LIOT;Logement & Urbanisme;Sante(327) | Economie & Finance(69) | Securite sociale & Protection(46) | Logement & Urbanisme(39) | Institutions(16);14
PA759832;Pannier-Runacher;Agnès;EPR;Defense;Economie & Finance(400) | Sante(134) | Securite sociale & Protection(121) | Institutions(32) | Defense(18);12
PA719632;Panonacle;Sophie;EPR;Education;Economie & Finance(627) | Sante(93) | Securite sociale & Protection(39) | Education(38) | Outre-mer(28);15
PA795050;Panosyan-Bouvet;Astrid;EPR;Sante;Economie & Finance(210) | Sante(109) | Securite sociale & Protection(48) | Institutions(23) | Education(11);11
PA720892;Panot;Mathilde;LFI-NFP;Defense;Economie & Finance(1226) | Securite sociale & Protection(302) | Sante(238) | Outre-mer(117) | Securite & Justice(106);16
PA841381;Pantel;Sophie;SOC;Numerique & Technologies;Economie & Finance(1564) | Sante(512) | Securite sociale & Protection(440) | Culture(182) | Institutions(168);16
PA794670;Parmentier;Caroline;RN;Transport;Economie & Finance(1141) | Securite sociale & Protection(228) | Sante(125) | Institutions(80) | Outre-mer(75);15
PA720480;Parmentier-Lecocq;Charlotte;HOR;;;0
PA793398;Patrier-Leitus;Jérémie;HOR;Logement & Urbanisme;Economie & Finance(1066) | Sante(378) | Securite sociale & Protection(287) | Securite & Justice(185) | Outre-mer(165);15
PA718784;Pauget;Éric;DR;Defense;Securite & Justice(146) | Economie & Finance(107) | Defense(46) | Transport(39) | Sante(38);15
PA840793;Pena;Marc;SOC;Securite & Justice;Economie & Finance(808) | Securite sociale & Protection(319) | Securite & Justice(145) | Institutions(112) | Culture(64);15
PA841199;Perez;Thierry;RN;Defense;Economie & Finance(1410) | Securite sociale & Protection(480) | Sante(145) | Outre-mer(99) | Securite & Justice(79);15
PA721442;Petex;Christelle;DR;Transport;Economie & Finance(276) | Securite sociale & Protection(76) | Outre-mer(58) | Sante(39) | Institutions(29);11
PA721182;Petit;Frédéric;Dem;Outre-mer;Economie & Finance(891) | Securite sociale & Protection(284) | Outre-mer(171) | Institutions(104) | Ecologie & Environnement(83);15
PA721234;Petit;Maud;Dem;Immigration;Economie & Finance(871) | Sante(305) | Outre-mer(249) | Securite sociale & Protection(237) | Securite & Justice(91);15
PA721270;Peu;Stéphane;GDR;Institutions;Economie & Finance(627) | Institutions(142) | Securite sociale & Protection(133) | Sante(101) | Ecologie & Environnement(80);15
PA793708;Peytavie;Sébastien;EcoS;Culture;Economie & Finance(1694) | Securite sociale & Protection(546) | Sante(420) | Culture(180) | Institutions(155);14
PA794582;Pfeffer;Kévin;RN;Defense;Economie & Finance(1388) | Securite sociale & Protection(312) | Sante(201) | Ecologie & Environnement(150) | Outre-mer(136);16
PA794270;Pic;Anna;SOC;Immigration;Economie & Finance(623) | Sante(219) | Securite sociale & Protection(208) | Outre-mer(96) | Social & Travail(70);15
PA817211;Pilato;René;LFI-NFP;Immigration;Economie & Finance(1004) | Sante(706) | Securite sociale & Protection(193) | Outre-mer(148) | Institutions(115);15
PA793756;Piquemal;François;LFI-NFP;Transport;Economie & Finance(462) | Outre-mer(68) | Sante(51) | Securite sociale & Protection(50) | Social & Travail(48);15
PA721844;Piron;Béatrice;HOR;Numerique & Technologies;Economie & Finance(1230) | Sante(378) | Securite sociale & Protection(348) | Institutions(143) | Outre-mer(123);16
PA608172;Pirès Beaune;Christine;SOC;Logement & Urbanisme;Economie & Finance(1084) | Securite sociale & Protection(340) | Sante(332) | Institutions(94) | Ecologie & Environnement(69);15
PA793572;Plassard;Christophe;HOR;Sante;Economie & Finance(475) | Sante(200) | Securite sociale & Protection(79) | Institutions(54) | Outre-mer(39);15
PA793664;Pochon;Marie;EcoS;Culture;Economie & Finance(774) | Securite sociale & Protection(150) | Institutions(126) | Outre-mer(74) | Culture(70);14
PA793656;Pollet;Lisette;RN;Numerique & Technologies;Economie & Finance(2009) | Sante(702) | Securite sociale & Protection(487) | Outre-mer(269) | Ecologie & Environnement(175);16
PA719528;Portarrieu;Jean-François;HOR;Transport;Economie & Finance(96) | Sante(44) | Securite & Justice(29) | Securite sociale & Protection(17) | Outre-mer(13);14
PA796062;Portes;Thomas;LFI-NFP;Defense;Economie & Finance(1481) | Securite sociale & Protection(299) | Sante(163) | Institutions(106) | Outre-mer(91);16
PA794994;Portier;Alexandre;DR;Culture;Economie & Finance(219) | Culture(170) | Sante(92) | Education(72) | Securite sociale & Protection(71);14
PA607553;Potier;Dominique;SOC;Ecologie & Environnement;Economie & Finance(1121) | Sante(334) | Securite sociale & Protection(266) | Ecologie & Environnement(158) | Securite & Justice(70);15
PA720720;Poueyto;Josy;Dem;Securite sociale & Protection;Economie & Finance(747) | Securite sociale & Protection(440) | Sante(296) | Outre-mer(62) | Institutions(45);13
PA795270;Poussier-Winsback;Marie-Agnès;HOR;Immigration;Economie & Finance(593) | Securite sociale & Protection(195) | Sante(160) | Ecologie & Environnement(123) | Institutions(92);15
PA721916;Pouzyreff;Natalia;EPR;Numerique & Technologies;Economie & Finance(738) | Securite sociale & Protection(167) | Sante(113) | Ecologie & Environnement(72) | Education(50);16
PA720100;Pradié;Aurélien;NI;Securite sociale & Protection;Economie & Finance(70) | Securite sociale & Protection(66) | Sante(36) | Institutions(9) | Agriculture(8);14
PA841167;Prevost;Hugo;LFI-NFP;;Institutions(1);1
PA840955;Pribetich;Pierre;SOC;Numerique & Technologies;Economie & Finance(1586) | Securite sociale & Protection(451) | Sante(404) | Institutions(195) | Outre-mer(157);16
PA841367;Proença;Christophe;SOC;Culture;Economie & Finance(1165) | Securite sociale & Protection(362) | Sante(237) | Culture(174) | Outre-mer(93);15
PA842323;Provendier;Remi;EPR;Social & Travail;Economie & Finance(46) | Social & Travail(37) | Securite sociale & Protection(35) | Sante(2) | Immigration(1);9
PA719578;Prud'homme;Loïc;LFI-NFP;Outre-mer;Economie & Finance(612) | Sante(210) | Outre-mer(148) | Securite sociale & Protection(115) | Institutions(51);15
PA795966;Rambaud;Stéphane;RN;Defense;Economie & Finance(1242) | Securite sociale & Protection(413) | Outre-mer(176) | Sante(154) | Securite & Justice(116);15
PA720092;Ramos;Richard;Dem;Agriculture;Economie & Finance(138) | Securite sociale & Protection(70) | Agriculture(23) | Sante(22) | Institutions(19);14
PA793230;Ranc;Angélique;RN;Culture;Economie & Finance(941) | Sante(308) | Securite sociale & Protection(305) | Outre-mer(109) | Ecologie & Environnement(108);15
PA793254;Rancoule;Julien;RN;Transport;Economie & Finance(1428) | Sante(434) | Securite sociale & Protection(401) | Outre-mer(197) | Institutions(158);16
PA721062;Ratenon;Jean-Hugues;LFI-NFP;Outre-mer;Economie & Finance(799) | Securite sociale & Protection(270) | Sante(163) | Outre-mer(148) | Education(43);14
PA720552;Rauch;Isabelle;HOR;Ecologie & Environnement;Economie & Finance(539) | Securite sociale & Protection(159) | Sante(86) | Ecologie & Environnement(85) | Institutions(64);15
PA794154;Raux;Jean-Claude;EcoS;Culture;Economie & Finance(916) | Sante(232) | Culture(202) | Securite sociale & Protection(145) | Ecologie & Environnement(122);16
PA793094;Ray;Nicolas;DR;Immigration;Economie & Finance(1401) | Securite sociale & Protection(165) | Securite & Justice(85) | Sante(83) | Institutions(75);15
PA794778;Regol;Sandra;EcoS;Transport;Economie & Finance(1847) | Sante(400) | Securite sociale & Protection(373) | Securite & Justice(222) | Institutions(158);16
PA795240;Reid Arbelot;Mereana;GDR;Outre-mer;Economie & Finance(129) | Outre-mer(31) | Securite sociale & Protection(17) | Institutions(16) | Ecologie & Environnement(12);13
PA841955;Renault;Matthias;RN;Ecologie & Environnement;Economie & Finance(1993) | Sante(347) | Securite sociale & Protection(294) | Ecologie & Environnement(242) | Outre-mer(144);15
PA840657;Ricourt Vaginay;Sophie;UDR;Defense;Economie & Finance(705) | Sante(179) | Securite sociale & Protection(144) | Ecologie & Environnement(124) | Institutions(117);16
PA335758;Riester;Franck;EPR;Education;Economie & Finance(329) | Securite sociale & Protection(129) | Ecologie & Environnement(52) | Securite & Justice(51) | Outre-mer(50);15
PA795876;Rimane;Davy;GDR;Outre-mer;Outre-mer(102) | Economie & Finance(69) | Institutions(21) | Sante(10) | Securite sociale & Protection(10);14
PA841981;Rimbert;Catherine;RN;Defense;Economie & Finance(1643) | Securite sociale & Protection(391) | Sante(351) | Outre-mer(152) | Ecologie & Environnement(144);15
PA721426;Riotton;Véronique;EPR;Culture;Economie & Finance(686) | Securite sociale & Protection(269) | Culture(100) | Sante(78) | Institutions(77);15
PA720066;Rist;Stéphanie;EPR;Transport;Economie & Finance(179) | Securite & Justice(160) | Sante(118) | Securite sociale & Protection(78) | Institutions(65);14
PA842227;Rivière;Joseph;RN;Logement & Urbanisme;Economie & Finance(815) | Sante(230) | Outre-mer(147) | Securite sociale & Protection(108) | Logement & Urbanisme(72);15
